Game	Time
5	7.8
5	91.1
5	5.0
5	6.9
5	22.6
5	10.7
5	7.0
5	28.6
5	8.1
5	22.8
5	21.9
5	17.1
5	10.2
5	63.3
5	20.1
5	2.7
5	13.2
5	27.1
5	17.1
5	3.5
5	17.4
5	55.8
5	12.9
5	35.8
5	10.0
5	45.8
5	24.5
5	5.0
5	18.1
5	21.9
5	7.2
5	12.4
5	8.2
5	14.3
5	11.5
5	29.2
5	19.7
5	35.8
5	14.6
5	13.3
5	27.8
5	43.1
5	46.6
5	33.5
5	26.2
5	35.8
5	5.0
6	30.3
6	14.8
6	15.2
6	12.2
6	19.2
6	2.1
6	42.6
6	12.7
6	9.1
6	35.1
6	14.2
6	41.8
6	10.3
6	12.4
6	9.5
6	40.8
6	2.7
6	3.6
6	10.7
6	45.1
6	12.4
6	8.4
6	14.0
6	2.9
6	20.7
6	26.5
6	13.3
6	2.8
6	50.6
6	15.7
6	5.8
6	2.7
6	8.2
6	11.7
6	3.4
6	10.9
6	3.6
6	2.6
6	14.9
6	6.2
6	13.5
6	29.8
6	13.8
6	3.4
6	26.6
6	3.7
6	23.6
6	60.2
6	13.8
6	13.1
6	10.3
6	3.7
6	36.0
6	18.8
6	35.1
6	51.6
6	33.4
6	13.8
6	6.3
6	11.7
6	8.6
6	9.7
6	29.7
6	16.3
6	2.6
6	15.4
6	11.3
6	11.7
6	29.4
6	4.9
6	37.2
6	6.2
6	65.1
6	3.8
6	2.2
6	23.9
6	5.1
6	16.6
6	10.9
6	12.2
6	11.4
6	3.1
6	22.6
6	9.6
6	2.8
6	15.6
6	49.2
6	10.0
6	36.1
6	10.6
6	2.8
6	18.3
6	15.1
6	19.8
6	3.0
6	10.3
6	16.2
6	11.6
6	33.7
6	35.2
7	11.9
7	6.0
7	4.6
7	4.6
7	14.5
7	28.4
7	22.4
7	1.4
7	64.1
7	12.2
7	4.1
7	2.2
7	4.8
7	15.6
7	21.6
7	17.0
7	2.3
7	30.2
7	77.2
7	18.2
7	18.4
7	5.8
7	26.1
7	34.1
7	16.8
7	7.8
7	20.2
7	15.9
7	2.1
7	10.2
7	13.1
7	34.5
7	17.4
7	30.4
7	3.3
7	32.0
7	4.7
7	10.2
7	15.9
7	23.5
7	9.3
7	44.7
7	7.0
7	20.4
7	65.0
7	46.4
7	27.3
7	6.6
7	41.4
7	11.9
7	24.6
7	36.3
7	13.9
7	10.8
7	10.2
7	11.9
7	17.2
7	38.5
7	17.7
7	6.5
7	15.3
7	36.9
7	26.7
7	5.1
7	10.0
7	8.2
7	7.4
7	14.2
7	45.5
7	22.7
7	4.1
7	27.0
7	20.3
7	4.8
7	18.5
7	77.7
7	20.7
7	23.9
7	17.0
7	14.5
7	12.5
7	13.3
7	22.1
8	7.0
8	13.5
8	2.7
8	3.6
8	27.5
8	1.9
8	6.9
8	2.2
8	5.2
8	5.6
8	2.9
8	18.0
8	12.6
8	9.0
8	34.3
8	10.4
8	22.4
8	3.3
8	10.4
8	43.2
8	34.5
8	1.5
8	27.0
8	7.9
8	8.3
8	16.7
8	1.3
8	26.9
8	28.0
8	7.9
8	36.0
8	15.3
8	4.8
8	21.6
8	15.4
8	18.0
8	15.9
8	16.5
8	15.1
8	45.7
8	3.3
8	9.6
8	24.5
8	3.2
8	9.6
8	5.3
8	4.1
8	10.6
8	19.2
8	17.8
8	15.5
8	3.4
8	2.7
8	15.3
8	3.2
8	27.0
8	11.7
8	11.2
8	14.5
8	28.8
8	24.2
8	9.5
8	21.7
8	16.9
8	13.5
8	2.5
8	19.8
8	45.9
8	8.6
8	66.1
8	16.8
8	6.3
8	13.1
8	8.9
8	15.3
8	29.4
8	2.9
8	16.7
8	2.4
8	31.1
8	15.7
8	21.5
8	3.5
8	23.5
8	21.0
8	35.9
8	22.6
8	13.6
8	4.8
8	8.1
8	12.9
8	12.4
8	6.5
8	18.0
8	23.2
8	17.3
8	1.4
8	17.4
8	8.3
8	10.6
8	2.3
8	58.8
8	20.1
8	7.0
8	28.1
8	30.8
8	16.9
8	31.0
9	24.6
9	27.8
9	3.5
9	13.3
9	14.4
9	15.2
9	37.3
9	3.8
9	5.1
9	8.4
9	2.9
9	24.8
9	11.3
9	10.2
9	3.3
9	15.4
9	5.1
9	39.4
9	13.1
9	26.3
9	12.7
9	6.6
9	17.7
9	10.2
9	7.4
9	5.6
9	3.6
9	44.5
9	23.7
9	8.3
9	3.8
9	4.4
9	1.5
9	6.0
9	15.2
9	14.6
9	5.0
9	15.2
9	14.6
9	5.0
9	15.2
9	15.2
9	18.3
9	5.0
9	12.9
9	20.7
9	2.4
9	7.9
9	20.0
9	5.2
9	16.1
9	3.3
9	53.4
9	3.2
9	34.3
9	5.5
9	9.6
9	58.4
9	3.0
9	11.4
9	17.9
9	4.9
9	22.3
9	6.8
9	2.5
9	18.0
9	24.2
9	15.3
9	3.2
9	6.2
9	29.3
9	30.3
9	8.7
9	3.2
9	16.8
9	19.8
9	19.1
9	4.6
9	4.1
9	34.1
9	14.0
9	19.8
9	53.5
9	11.8
9	7.2
9	12.2
9	23.1
9	10.7
9	18.2
9	11.9
9	24.1
9	9.3
9	18.3
9	6.2
9	26.5
9	19.7
9	9.9
9	11.7
9	11.2
9	15.6
9	3.6
9	25.6
9	6.8
9	33.5
9	27.4
9	21.1
9	28.3
10	29.1
10	17.1
10	37.8
10	6.4
10	7.9
10	4.2
10	3.2
10	8.0
10	13.2
10	53.6
10	4.3
10	9.0
10	13.9
10	31.4
10	1.7
10	4.3
10	15.7
10	8.8
10	4.4
10	10.6
10	2.0
10	22.7
10	4.6
10	6.7
10	23.1
10	13.8
10	4.0
10	6.9
10	16.4
10	3.2
10	14.5
10	48.6
10	4.6
10	5.0
10	26.5
10	32.5
10	4.1
10	29.2
10	8.2
10	15.2
10	2.0
10	4.1
10	4.3
10	11.7
10	10.2
10	18.4
10	15.3
10	17.5
10	8.8
10	19.7
10	6.5
10	17.5
10	26.9
10	22.4
10	10.4
10	4.0
10	41.8
10	14.0
10	13.3
10	9.2
10	10.3
10	15.8
10	23.2
10	10.9
10	38.4
10	25.9
10	5.0
10	7.0
10	11.2
10	3.7
10	1.8
10	17.4
10	2.5
10	35.1
10	22.7
10	14.4
10	9.9
10	5.2
10	29.8
10	14.8
10	2.6
10	24.7
10	17.5
10	2.5
10	9.9
10	25.4
10	4.8
10	27.7
10	2.3
10	21.7
10	37.8
10	3.2
10	32.0
10	7.8
10	11.5
10	4.1
10	7.1
10	28.0
10	36.3
10	18.8
10	16.5
10	3.5
10	17.9
10	46.6
